rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
43,2026-04-28,2881.TW,富邦金,core,midlong_core,88.6,0.8,1.03,1.14,1.03,20879110,19210861,1.09,87.72,89.97,91.97,-9.78,1.0,4,0,NONE,開始轉強,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.33,穩健,X,-5,-1,0,DOWN
44,2026-04-28,2891.TW,中信金,core,midlong_core,53.3,1.14,0.57,0.38,0.57,45259681,48348124,0.94,53.47,52.46,49.22,-5.66,-0.32,4,0,NONE,開始轉強,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,2.04,標準,X,5,1,0,UP
45,2026-04-28,00773B.TWO,中信優先金融債,etf,defensive_watch,35.83,0.08,-0.53,-0.57,1.2,908000,1265350,0.72,35.94,36.08,35.96,-2.32,-0.3,3,1,BASE,一般觀察,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.4,穩健,X,1,0,0,UP
46,2026-04-28,00679B.TWO,元大美債20年,etf,defensive_watch,26.88,0.04,-0.85,-1.07,-0.74,33620000,40900000,0.82,27.15,27.24,27.14,-4.0,-0.98,3,1,BASE,一般觀察,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.49,穩健,X,2,0,0,UP
47,2026-04-28,00687B.TWO,國泰20年美債,etf,defensive_watch,27.93,0.07,-0.89,-1.1,-0.68,14881000,25287150,0.59,28.21,28.31,28.2,-3.97,-0.99,3,1,BASE,一般觀察,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.48,穩健,X,5,1,0,UP
48,2026-04-28,00772B.TWO,中信高評級公司債,etf,defensive_watch,33.7,0.0,-0.91,-1.05,0.77,1402000,3029250,0.46,33.92,33.9,33.69,-1.91,-0.66,3,1,BASE,一般觀察,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.41,穩健,X,-1,0,0,DOWN
49,2026-04-28,2884.TW,玉山金,core,midlong_core,32.45,-0.31,-1.52,-0.76,0.78,30565746,30198187,1.01,32.51,33.08,32.36,-7.55,-0.18,3,0,NONE,一般觀察,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.51,穩健,X,-8,-2,0,DOWN
50,2026-04-28,2892.TW,第一金,core,midlong_core,28.3,-0.18,-1.74,-1.05,-0.53,18932064,18820203,1.01,28.56,28.9,28.84,-5.98,-0.92,3,0,NONE,一般觀察,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.26,穩健,X,-15,-3,0,DOWN
51,2026-04-28,2374.TW,佳能,theme,short_attack,73.1,3.1,-2.4,1.53,1.25,5253340,4440318,1.18,70.71,75.07,77.78,-22.37,3.38,3,0,PULLBACK,一般觀察,高檔拉回整理,0,正常,正常,結構相對正常,,0,0,0,0,3.82,標準,X,-1,0,0,DOWN
52,2026-04-28,3491.TWO,昇達科,satellite,midlong_core,1620.0,0.93,-8.73,-6.36,-2.7,1669564,2107505,0.79,1660.5,1441.47,1014.67,-10.74,-2.44,3,0,NONE,一般觀察,還在觀察,2,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,6.75,劇烈,X,-1,0,0,DOWN
