rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
24,2026-04-27,3057.TW,喬鼎,theme,short_attack,18.85,-2.33,1.89,8.96,12.54,234671,356449,0.66,17.43,16.92,16.71,-21.13,8.13,8,1,"TREND,PULLBACK",進攻優勢區,中段延續中,0,正常,正常,震幅過大,震幅過大,0,1,0,0,5.38,活潑,X,0,0,0,FLAT
25,2026-04-27,3231.TW,緯創,theme,short_attack,142.5,0.71,1.42,5.95,12.2,38314253,38826439,0.99,133.8,132.12,138.4,-10.09,6.5,8,0,TREND,進攻優勢區,中段延續中,0,正常,正常,結構相對正常,,0,0,0,0,3.38,標準,X,0,0,0,FLAT
26,2026-04-27,2886.TW,兆豐金,core,midlong_core,39.8,0.63,0.13,1.27,1.79,36945992,26667611,1.39,39.41,39.45,39.94,-4.21,0.99,8,1,NONE,進攻優勢區,還在觀察,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.54,穩健,B,0,0,0,FLAT
27,2026-04-27,5347.TWO,世界,theme,short_attack,138.5,-1.42,-0.36,10.36,18.38,31033674,31070721,1.0,128.68,127.77,112.82,-15.03,7.64,8,0,TREND,進攻優勢區,中段延續中,0,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,6.32,活潑,X,0,0,0,FLAT
28,2026-04-27,2382.TW,廣達,theme,short_attack,325.5,0.77,-1.06,2.04,13.41,16434750,22494615,0.73,311.05,293.55,288.1,-4.26,4.65,8,1,TREND,進攻優勢區,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,4.03,活潑,X,0,0,0,FLAT
29,2026-04-27,2495.TW,普安,theme,short_attack,40.85,2.51,-3.77,3.68,17.72,8578690,12126879,0.71,38.63,34.92,31.49,-9.62,5.75,8,0,TREND,進攻優勢區,中段延續中,0,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.66,劇烈,X,0,0,0,FLAT
30,2026-04-27,4919.TW,新唐,theme,short_attack,136.0,-6.21,-3.89,35.32,45.92,6912306,19361194,0.36,113.33,87.33,70.73,-11.69,20.0,8,4,TREND,進攻優勢區,中段延續中,5,投機偏高,急拉爆量型,波段急漲、20日飆漲、波動劇烈,"波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大",2,2,2,0,8.8,劇烈,X,0,0,0,FLAT
31,2026-04-27,3711.TW,日月光投控,core,midlong_core,495.5,-0.1,7.37,18.68,38.02,30068720,21393869,1.41,415.62,359.89,299.6,-0.1,19.22,7,5,"TREND,ACCEL",偏強可追蹤,轉強速度有出來,4,投機偏高,高檔脫離型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",1,1,3,1,5.12,活潑,X,0,0,0,FLAT
32,2026-04-27,2308.TW,台達電,core,midlong_core,2020.0,-2.65,6.32,16.09,33.33,15382269,11036138,1.39,1740.25,1455.42,1215.7,-2.65,16.08,7,5,"TREND,ACCEL",偏強可追蹤,轉強速度有出來,3,投機偏高,高檔脫離型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,高檔無回檔,追價風險高",1,1,2,1,4.74,活潑,X,0,0,0,FLAT
33,2026-04-27,3013.TW,晟銘電,theme,short_attack,113.0,0.44,0.89,9.71,17.1,4249362,5099295,0.83,105.65,106.12,117.15,-19.29,6.96,7,0,NONE,偏強可追蹤,還在觀察,1,正常,正常,震幅過大,震幅過大,0,1,0,0,5.34,活潑,X,0,0,0,FLAT
34,2026-04-27,6147.TWO,頎邦,satellite,midlong_core,131.0,-9.66,3.56,12.45,68.38,19245441,37143284,0.52,107.62,74.66,64.61,-9.66,21.72,6,6,TREND,高風險追價區,有點過熱，別硬追,6,疑似炒作風險高,急拉爆量型,波段急漲、20日飆漲、波動劇烈,"波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,追價風險高",2,2,2,1,9.35,劇烈,C,0,0,0,FLAT
35,2026-04-27,3014.TW,聯陽,satellite,midlong_core,124.5,-0.8,0.81,4.62,7.33,1059384,957141,1.11,120.33,119.57,119.75,-6.39,3.47,6,0,NONE,偏強可追蹤,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,2.29,標準,X,0,0,0,FLAT
36,2026-04-27,2892.TW,第一金,core,midlong_core,28.35,0.18,-1.9,-0.35,-1.05,31882546,18720947,1.7,28.57,28.92,28.84,-5.81,-0.77,6,0,NONE,偏強可追蹤,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.25,穩健,B,0,0,0,FLAT
37,2026-04-27,8064.TWO,東捷,core,midlong_core,78.5,-6.77,-5.99,-5.42,5.09,25487269,15409962,1.65,74.99,61.96,52.86,-6.77,4.68,6,0,NONE,偏強可追蹤,還在觀察,1,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,9.4,劇烈,B,0,0,0,FLAT
